file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
7016314,13.846,0.003,8.1681,0.0017,15.11,0.003,90,,96.016,0.002,90,,1699.5,0.6,173,,173,,5,P 1 21/c 1,-P 2ybc,14,octamethylferrocene-dichloronaphthoquinone complex,octamethylferrocene-dichloronaphthoquinone complex,,- C38 H34 Cl4 Fe O4 -,- C38 H32 Cl4 Fe O4 -,- C76 H64 Cl8 Fe2 O8 -,2,0.5
7016539,16.312,0.004,12.288,0.004,29.792,0.006,90,,120.392,0.01,90,,5151,2,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C50 H60 Cl6 Cr2 N2 O2 -,- C50 H60 Cl6 Cr2 N2 O2 -,- C200 H240 Cl24 Cr8 N8 O8 -,4,1
7016540,18.076,0.005,18.047,0.005,23.103,0.004,90,,125.714,0.014,90,,6119,3,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C66 H76 Cl2 Cr2 N2 O2 -,- C66 H76 Cl2 Cr2 N2 O2 -,- C264 H304 Cl8 Cr8 N8 O8 -,4,1
7016541,8.6023,0.0007,12.9253,0.0011,16.4342,0.0014,69.844,0.001,83.356,0.002,79.47,0.002,1683.7,0.2,293,2,293,2,6,P -1,-P 1,2,,,,- C41 H41 Cl Cr N O2 -,- C41 H41 Cl Cr N O2 -,- C82 H82 Cl2 Cr2 N2 O4 -,2,1
7016542,11.6666,0.0016,20.495,0.003,17.05,0.002,90,,92.581,0.002,90,,4072.6,0.9,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C47 H53 Cl Cr N O2 -,- C47 H53 Cl Cr N O2 -,- C188 H212 Cl4 Cr4 N4 O8 -,4,1
7017669,9.2423,0.0012,17.0996,0.0015,25.117,0.003,90,,90,,90,,3969.5,0.8,123,2,123,2,5,P 21 21 21,P 2ac 2ab,19,DPBa,,,- C42 H48 Ba O4 P2 -,- C42 H48 Ba O4 P2 -,- C168 H192 Ba4 O16 P8 -,4,1
7017670,13.084,0.003,13.542,0.003,15.058,0.003,89.93,0.03,70.99,0.03,82.52,0.03,2498.6,1.1,123,,123,,6,P -1,-P 1,2,DP145C,,,- C54 H70 O4.5 P2 Pt Sr -,- C54 H70 O4.5 P2 Pt Sr -,- C108 H140 O9 P4 Pt2 Sr2 -,2,1
7017671,8.4669,0.0002,14.9498,0.0004,26.8694,0.0009,90,,90,,90,,3401.09,0.17,123,,123,,5,P b c n,-P 2n 2ab,60,6b,,,- C38 H38 Ca O2 P2 -,- C38 H38 Ca O2 P2 -,- C152 H152 Ca4 O8 P8 -,4,0.5
7017672,12.7626,0.0004,14.101,0.0003,14.9014,0.0004,112.945,0.002,100.743,0.002,106.299,0.002,2233.61,0.12,123,,123,,6,P -1,-P 1,2,DP368,,,- C50 H62 Ca O3.5 P2 Pt -,- C50 H62 Ca O3.5 P2 Pt -,- C100 H124 Ca2 O7 P4 Pt2 -,2,1
7017673,13.2232,0.0003,22.8323,0.0006,26.7122,0.0007,68.84,0.001,81.103,0.001,75.637,0.001,7267,0.3,123,,123,,6,P -1,-P 1,2,1,,,- C52 H66 Ba O4 P2 Pt -,- C52 H66 Ba O4 P2 Pt -,- C312 H396 Ba6 O24 P12 Pt6 -,6,3
7017997,14.092,0.002,10.4839,0.0015,15.135,0.002,90,,109.337,0.0011,90,,2109.9,0.5,123.1,,123.1,,4,P 1 21/n 1,-P 2yn,14,,,,- C24 H29 K O -,- C24 H29 K O -,- C96 H116 K4 O4 -,4,1
7017998,15.8327,0.0015,14.13,0.0013,18.3007,0.0018,90,,104.286,0.0005,90,,3967.5,0.7,123.1,,123.1,,4,P 1 21/a 1,-P 2yab,14,,,,- C48 H58 O2 Sm -,- C48 H58 O2 Sm -,- C192 H232 O8 Sm4 -,4,1
7017999,15.9579,0.0017,12.1851,0.0012,16.6516,0.0018,90,,109.624,0.003,90,,3049.8,0.6,123.1,,123.1,,3,P 1 21/n 1,-P 2yn,14,,,,- C40 H42 Sm -,- C40 H42 Sm -,- C160 H168 Sm4 -,4,1
7019880,8.5431,0.001,17.102,0.002,18.187,0.002,62.5943,0.0013,88.1152,0.0016,85.947,0.0016,2353.1,0.5,153,2,153,2,5,P -1,-P 1,2,,,,- C24 H42 B O Y -,- C24 H42 B O Y -,- C96 H168 B4 O4 Y4 -,4,2
7019881,8.6457,0.0003,16.8105,0.0006,16.8419,0.0006,65.9645,0.0004,87.0262,0.0005,81.1176,0.0005,2208.56,0.14,103,2,103,2,5,P -1,-P 1,2,,,,- C22 H38 B O Y -,- C22 H38 B O Y -,- C88 H152 B4 O4 Y4 -,4,2
7019882,10.7158,0.0004,13.6441,0.0005,17.6253,0.0006,102.944,0.0005,99.0856,0.0005,104.329,0.0005,2370.42,0.15,88,2,88,2,4,P -1,-P 1,2,,,,- C26 H42 B Sc -,- C26 H42 B Sc -,- C104 H168 B4 Sc4 -,4,2
7019883,9.191,0.0005,15.1368,0.0008,19.9838,0.0011,69.3342,0.0006,77.1285,0.0007,87.1072,0.0007,2534.7,0.2,143,2,143,2,4,P -1,-P 1,2,,,,- C28 H46 B Sc -,- C28 H46 B Sc -,- C112 H184 B4 Sc4 -,4,2
7019884,8.4949,0.0004,16.6454,0.0008,17.7827,0.0008,63.7179,0.0005,87.6483,0.0005,87.2937,0.0006,2251.47,0.18,153,2,153,2,6,P -1,-P 1,2,,,,- C48 H80 B Cl O2 Sc2 -,- C48 H80 B Cl O2 Sc2 -,- C96 H160 B2 Cl2 O4 Sc4 -,2,1
7019885,12.5375,0.0005,11.2389,0.0004,12.6035,0.0005,90,,102.969,0.0004,90,,1730.63,0.12,98,2,98,2,4,P 1 21/n 1,-P 2yn,14,,,,- C18 H30 B Sc -,- C18 H30 B Sc -,- C72 H120 B4 Sc4 -,4,1
7019886,8.5074,0.001,13.3327,0.0016,16.267,0.002,108.214,0.0016,96.5966,0.0016,105.045,0.0016,1653.5,0.3,143,2,143,2,4,P -1,-P 1,2,,,,- C36 H52 N2 Sc2 -,- C36 H52 N2 Sc2 -,- C72 H104 N4 Sc4 -,2,1
7020704,7.7184,0.0006,12.6232,0.0007,18.4245,0.0014,90,,91.13,0.006,90,,1794.8,0.2,173,2,173,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C20 H22 B Cl Fe Zr -,- C20 H22 B Cl Fe Zr -,- C80 H88 B4 Cl4 Fe4 Zr4 -,4,1
7020705,7.8828,0.0005,12.3274,0.0008,17.704,0.0012,90,,95.903,0.006,90,,1711.25,0.19,173,2,173,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C20 H23 B Fe Zr -,- C20 H23 B Fe Zr -,- C80 H92 B4 Fe4 Zr4 -,4,1
7020706,7.6961,0.0005,11.9241,0.0007,14.5443,0.0009,79.726,0.005,78.431,0.005,88.685,0.005,1286.52,0.14,173,2,173,2,5,P -1,-P 1,2,,,,- C30 H34 B2 Fe2 Zr -,- C30 H34 B2 Fe2 Zr -,- C60 H68 B4 Fe4 Zr2 -,2,1
7020707,6.5811,0.0003,20.6944,0.0011,23.8678,0.0013,90,,90.26,0.004,90,,3250.6,0.3,173,2,173,2,5,P 1 21/n 1,-P 2yn,14,,,,- C35 H41 B3 Fe3 Zr -,- C35 H41 B3 Fe3 Zr -,- C140 H164 B12 Fe12 Zr4 -,4,1
7020708,7.7895,0.0007,23.372,0.0019,20.47,0.002,90,,90.081,0.008,90,,3726.7,0.6,173,2,173,2,5,P 1 21/n 1,-P 2yn,14,,,,- C40 H51 B3 Fe3 Zr -,- C40 H51 B3 Fe3 Zr -,- C160 H204 B12 Fe12 Zr4 -,4,1
7020709,12.0793,0.0004,13.6685,0.0005,35.3514,0.001,90,,90,,90,,5836.7,0.3,173,2,173,2,6,P b c a,-P 2ac 2ab,61,,,,- C30 H34 B2 Cl2 Fe Zr2 -,- C30 H34 B2 Cl2 Fe Zr2 -,- C240 H272 B16 Cl16 Fe8 Zr16 -,8,1
7021330,8.9587,0.0007,14.3777,0.0013,17.7595,0.0014,73.418,0.003,81.473,0.003,81.371,0.003,2154.1,0.3,120,1,120,1,5,P -1,-P 1,2,2a,,,- C24 H32 N2 O Ti -,- C24 H32 N2 O Ti -,- C96 H128 N8 O4 Ti4 -,4,2
7021331,9.1395,0.0004,9.5693,0.0004,14.4498,0.0006,103.401,0.001,97.55,0.001,110.744,0.001,1117.55,0.08,120,2,120,2,5,P -1,-P 1,2,3a,,,- C24 H32 N2 O Zr -,- C24 H32 N2 O Zr -,- C48 H64 N4 O2 Zr2 -,2,1
7021332,15.6422,0.0009,8.9096,0.0005,16.784,0.0007,90,,90.262,0.003,90,,2339.1,0.2,120,2,120,2,4,P 1 21/c 1,-P 2ybc,14,4c,,,- C25 H34 Hf N2 -,- C25 H34 Hf N2 -,- C100 H136 Hf4 N8 -,4,1
7021333,14.6866,0.0009,8.3103,0.0004,17.7682,0.001,90,,109.942,0.003,90,,2038.6,0.2,120,2,120,2,4,P 1 21/c 1,-P 2ybc,14,4g,,,- C21 H34 Hf N2 -,- C21 H34 Hf N2 -,- C84 H136 Hf4 N8 -,4,1
7021895,15.0433,0.0004,12.0424,0.0003,16.5253,0.0004,90,,110.917,0.001,90,,2796.39,0.12,150,2,150,2,4,C 1 2/c 1,-C 2yc,15,,,,- C28 H50 Al Ti -,- C28 H50 Al Ti -,- C112 H200 Al4 Ti4 -,4,0.5
7022897,13.909,0.0004,10.906,0.0002,17.504,0.0004,90,,97.834,0.0013,90,,2630.43,0.11,150,2,150,2,4,P 1 21/c 1,-P 2ybc,14,,,,- C32 H37 N Zr -,- C32 H37 N Zr -,- C128 H148 N4 Zr4 -,4,1
7022898,8.3978,0.0003,14.4909,0.0005,22.8225,0.0007,90,,90.074,0.002,90,,2777.31,0.16,150,2,150,2,6,P 1 21/n 1,-P 2yn,14,,,,- C27 H38 Cl3 N O Zr -,- C27 H38 Cl3 N O Zr -,- C108 H152 Cl12 N4 O4 Zr4 -,4,1
7022899,8.197,0.0002,11.4753,0.0003,21.1072,0.0006,90,,98.658,0.001,90,,1962.78,0.09,150,2,150,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C20 H27 Cl2 N Ti -,- C20 H27 Cl2 N Ti -,- C80 H108 Cl8 N4 Ti4 -,4,1
7022900,13.735,0.0003,10.8552,0.0003,17.3126,0.0004,90,,97.84,0.001,90,,2557.12,0.11,150,2,150,2,4,P 1 21/c 1,-P 2ybc,14,,,,- C32 H37 N Ti -,- C32 H37 N Ti -,- C128 H148 N4 Ti4 -,4,1
7022968,10.9985,0.0004,15.8569,0.0006,20.497,0.0008,86.967,0.002,75.119,0.002,73.85,0.002,3317.8,0.2,120,2,120,2,7,P -1,-P 1,2,,,,- C70 H67 B F15 N O2 Zr -,- C70 H67 B F15 N O2 Zr -,- C140 H134 B2 F30 N2 O4 Zr2 -,2,1
7022969,11.026,0.0004,15.5861,0.0006,20.5604,0.0008,84.504,0.002,74.448,0.002,73.522,0.002,3263.4,0.2,120,2,120,2,7,P -1,-P 1,2,,,,- C73 H74 B F15 N O2 Ti -,- C73 H74 B F15 N O2 Ti -,- C146 H148 B2 F30 N2 O4 Ti2 -,2,1
7027596,10.562,0.005,18.902,0.002,11.236,,90,0.03,113.73,,90,,2053.5,1,173,2,173,2,5,P 1 21/n 1,-P 2yn,14,[V2(H)2{SiMe3N(CH2CH2NSiMe3)2}2],,,- C26 H72 N6 Si6 V2 -,- C26 H72 N6 Si6 V2 -,- C52 H144 N12 Si12 V4 -,2,0.5
7032061,16.2167,0.0013,14.178,0.0011,16.7183,0.0013,90,,104.34,0.0008,90,,3724.1,0.5,143,2,143,2,3,C 1 2/c 1,-C 2yc,15,,,,- C20 H30 Gd -,- C20 H30 Gd -,- C160 H240 Gd8 -,8,1
7032062,16.1651,0.0013,14.1669,0.0011,16.6568,0.0013,90,,104.117,0.0009,90,,3699.4,0.5,143,2,143,2,3,C 1 2/c 1,-C 2yc,15,,,,- C40 H62 Tb2 -,- C40 H62 Tb2 -,- C160 H248 Tb8 -,4,0.5
7032063,10.9652,0.0007,31.175,0.002,12.5094,0.0008,90,,99.6529,0.0007,90,,4215.7,0.5,83,2,83,2,3,P 1 21/n 1,-P 2yn,14,,,,- C47 H70 Dy2 -,- C47 H70 Dy2 -,- C188 H280 Dy8 -,4,1
7032064,10.6726,0.0006,10.7773,0.0006,17.0691,0.0009,100.744,0.0005,103.49,0.0005,97.8657,0.0006,1841.97,0.18,143,2,143,2,3,P -1,-P 1,2,,,,- C40 H62 Dy2 -,- C40 H62 Dy2 -,- C80 H124 Dy4 -,2,1
7043900,16.988,0.003,16.988,0.003,15.736,0.003,90,,90,,120,,3932.9,1.2,100,1,100,1,4,P 63,P 6c,173,,,,- C31.5 H60 N2 Th -,- C24 H42 N2 Th -,- C144 H252 N12 Th6 -,6,1
7043901,16.866,0.004,16.866,0.004,15.655,0.004,90,,90,,120,,3856.6,1.6,100,1,100,1,4,P 63,P 6c,173,,,,- C34.5 H54 N2 U -,- C24 H42 N2 U -,- C144 H252 N12 U6 -,6,1
7045815,8.3916,0.0003,16.1829,0.0006,9.2225,0.0003,90,,111.361,0.0004,90,,1166.38,0.07,88,2,88,2,5,P 1 21 1,P 2yb,4,,(C5Me5)2Y(THF)NH2,,- C24 H40 N O Y -,- C24 H40 N O Y -,- C48 H80 N2 O2 Y2 -,2,1
7045816,11.7992,0.0009,22.579,0.0018,15.3847,0.0012,90,,91.7762,0.001,90,,4096.7,0.6,128,2,128,2,6,P 1 21/n 1,-P 2yn,14,,[(C5Me5)2Y(THF)NH3][BPh4],,- C48 H61 B N O Y -,- C48 H61 B N O Y -,- C192 H244 B4 N4 O4 Y4 -,4,1
7048788,13.809,0.0003,21.5866,0.0008,15.4832,0.0006,90,,92.98,0.003,90,,4609.1,0.3,100.01,0.1,100.01,0.1,4,P 1 21/n 1,-P 2yn,14,,,,- C49 H81 P Th -,- C49 H81 P Th -,- C196 H324 P4 Th4 -,4,1
7048789,13.4503,0.0004,17.0758,0.0005,17.6755,0.0005,90,,97.625,0.003,90,,4023.7,0.2,100.01,0.1,100.01,0.1,4,C 1 2/c 1,-C 2yc,15,,,,- C42 H68 N4 Th -,- C42 H68 N4 Th -,- C168 H272 N16 Th4 -,4,0.5
7048790,10.2293,0.0001,20.8251,0.0002,17.4204,0.0002,90,,95.537,0.001,90,,3693.69,0.07,100.01,0.1,100.01,0.1,4,P 1 21/n 1,-P 2yn,14,,,,- C40 H66 O Th -,- C40 H66 O Th -,- C160 H264 O4 Th4 -,4,1
7048791,22.726,0.006,20.038,0.005,19.906,0.005,90,,104.794,0.003,90,,8764,4,100,2,100,2,4,C 1 2/c 1,-C 2yc,15,,,,- C46 H68 Se2 Th -,- C46 H68 Se2 Th -,- C368 H544 Se16 Th8 -,8,1
7048792,10.3422,0.0004,19.3149,0.0005,21.2672,0.0006,90,,102.863,0.003,90,,4141.7,0.2,100.01,0.1,100.01,0.1,4,P 1 2/n 1,-P 2yac,13,,,,- C46 H68 P2 Th -,- C46 H68 P2 Th -,- C184 H272 P8 Th4 -,4,1
7048793,12.0224,0.0005,14.9397,0.0006,19.817,0.0008,68.243,0.004,82.483,0.004,80.226,0.004,3248.8,0.2,100.01,0.1,100.01,0.1,5,P -1,-P 1,2,,,,- C70 H109 N P Th -,- C70 H109 N P Th -,- C140 H218 N2 P2 Th2 -,2,1
7048794,12.2839,0.0003,18.1136,0.0005,16.7491,0.0005,90,,92.286,0.002,90,,3723.8,0.18,100,0.1,100,0.1,5,P 1 21/c 1,-P 2ybc,14,,,,- C37 H65 O P Th -,- C37 H65 O P Th -,- C148 H260 O4 P4 Th4 -,4,1
7053673,12.321,0.003,25.157,0.005,9.3501,0.0019,90,,90,,90,,2898.2,1.1,293,2,293,2,7,P 21 21 2,P 2 2ab,18,,,,- C25 H35 Br Cl4 Cr N O -,- C25 H35 Br Cl4 Cr N O -,- C100 H140 Br4 Cl16 Cr4 N4 O4 -,4,1
7053674,9.839,0.002,11.779,0.002,25.013,0.005,90,,99.29,0.03,90,,2860.8,1,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C25 H36 Cl3 Cr N2 O3 -,- C25 H36 Cl3 Cr N2 O3 -,- C100 H144 Cl12 Cr4 N8 O12 -,4,1
7053675,9.0986,0.0018,12.398,0.003,26.249,0.005,90,,94.29,0.03,90,,2952.7,1.1,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C28 H34 Cl3 Cr N2 O3 -,- C28 H34 Cl3 Cr N2 O3 -,- C112 H136 Cl12 Cr4 N8 O12 -,4,1
7053676,12.378,0.003,16.829,0.003,17.805,0.004,90,,90,,90,,3708.9,1.4,293,2,293,2,6,P b c a,-P 2ac 2ab,61,,,,- C21 H21 Cl Cr N O -,- C21 H21 Cl Cr N O -,- C168 H168 Cl8 Cr8 N8 O8 -,8,1
7053677,7.7239,0.0015,16.784,0.003,20.079,0.004,80.09,0.03,80.03,0.03,85.18,0.03,2521.5,0.9,293,2,293,2,6,P -1,-P 1,2,,,,- C27 H33 Cl Cr N O -,- C27 H33 Cl Cr N O -,- C108 H132 Cl4 Cr4 N4 O4 -,4,2
7053678,11.365,0.002,18.149,0.004,12.445,0.003,90,,110.76,0.03,90,,2400.3,1,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C22 H22 Cl3 Cr N2 O3 -,- C22 H22 Cl3 Cr N2 O3 -,- C88 H88 Cl12 Cr4 N8 O12 -,4,1
7102272,9.5275,0.0019,14.801,0.003,19.63,0.004,89.906,0.004,77.076,0.004,88.648,0.004,2697.2,0.9,163,2,163,2,4,P -1,-P 1,2,,,,- C59 H94 B2 Y2 -,- C59 H94 B2 Y2 -,- C118 H188 B4 Y4 -,2,1
7102340,17.4815,0.0009,17.4815,0.0009,27.596,0.002,90,,90,,120,,7303.5,0.8,180,2,180,2,6,R 3 c :H,"R 3 -2""c",161,,,,- C31 H63 K O Si6 Sn -,- C31.02 H63 K O Si6 Sn -,- C186.12 H378 K6 O6 Si36 Sn6 -,6,0.333333
7102341,33.6787,0.0003,33.6787,0.0003,11.173,0.0001,90,,90,,90,,12673,0.2,180,2,180,2,5,P 42/n m c :2,-P 4ac 2a,137,,,,- C37 H87 Li3 N6 Si4 -,- C37 H81 Li3 N6 Si4 -,- C296 H648 Li24 N48 Si32 -,8,0.5
7102399,13.975,0.003,19.331,0.004,16.878,0.003,90,,90.3,0.03,90,,4559.6,1.6,83,2,83,2,6,P 1 21/n 1,-P 2yn,14,Me4C2Cp2(BARF)Cr(CN)CNdimep,,,- C53 H37 B Cr F15 N2 -,- C53 H37 B Cr F15 N2 -,- C212 H148 B4 Cr4 F60 N8 -,4,1
7102400,11.864,0.003,12.943,0.003,15.545,0.002,72.61,0.01,73.68,0.01,71.9,0.02,2118.1,0.8,203,2,203,2,6,P -1,-P 1,2,(Me4C2Cp(BARF)CpCrCNDimep) + C6H6,,,- C49 H34 B Cr F15 N -,- C49 H34 B Cr F15 N -,- C98 H68 B2 Cr2 F30 N2 -,2,1
7110778,37.705,0.008,10.99,0.002,18.178,0.004,90,,106.48,0.03,90,,7223,3,293,2,293,2,5,C 1 2/c 1,-C 2yc,15,,,,- C38 H29 B F15 Ti -,- C38 H29 B F15 Ti -,- C304 H232 B8 F120 Ti8 -,8,1
7110779,12.827,0.003,18.862,0.004,19.499,0.004,90,,94.26,0.03,90,,4704.6,1.8,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C49 H44 B F15 Si Zr -,- C49 H44 B F15 Si Zr -,- C196 H176 B4 F60 Si4 Zr4 -,4,1
7119141,7.0929,0.0002,15.6774,0.0004,20.8647,0.0005,90,,90,,90,,2320.12,0.1,100,2,100,2,7,P 21 21 21,P 2ac 2ab,19,,,,- C21 H29 F6 Ir N O P -,- C21 H29 F6 Ir N O P -,- C84 H116 F24 Ir4 N4 O4 P4 -,4,1
7121193,13.3448,0.0006,25.7942,0.0013,31.7835,0.0015,90,,90,,90,,10940.5,0.9,100,,100,,6,P 21 21 21,P 2ac 2ab,19,,,,- C56 H90 Cl2 N2 P2 Zr -,- C44 H62 Cl2 N2 P2 Zr -,- C352 H496 Cl16 N16 P16 Zr8 -,8,2
7121194,17.7014,0.0006,13.7831,0.0005,17.8222,0.0007,90,,99.961,0.001,90,,4282.7,0.3,100,2,100.01,,6,P 1 21/n 1,-P 2yn,14,,,,- C44 H62 Cl N2 P2 Zr -,- C44 H62 Cl N2 P2 Zr -,- C176 H248 Cl4 N8 P8 Zr4 -,4,1
7121195,17.727,0.0005,13.7111,0.0004,17.849,0.0005,90,,99.773,0.001,90,,4275.4,0.2,100,,100,,6,P 1 21/n 1,-P 2yn,14,,,,- C44 H62 Cl Hf N2 P2 -,- C44 H62 Cl Hf N2 P2 -,- C176 H248 Cl4 Hf4 N8 P8 -,4,1
7121196,13.3358,0.0006,25.5782,0.0013,31.842,0.0014,90,,90,,90,,10861.5,0.9,100,2,100,,6,P 21 21 21,P 2ac 2ab,19,,,,- C58 H78 Cl2 Hf N2 P2 -,- C58 H78 Cl2 Hf N2 P2 -,- C464 H624 Cl16 Hf8 N16 P16 -,8,2
7122247,10.0265,0.0001,12.7798,0.0001,25.9558,0.0003,90,,90,,90,,3325.89,0.06,150,,150,,3,P 21 21 21,P 2ac 2ab,19,,,,- C38 H50 Si -,- C38 H50 Si -,- C152 H200 Si4 -,4,1
7122248,10.5667,0.0004,13.3377,0.0006,14.5723,0.0007,94.961,0.004,106.587,0.004,94.008,0.004,1951.27,0.16,150,2,150,2,5,P -1,-P 1,2,,,,- C44 H54 Cl2 Hf Si -,- C44 H54 Cl2 Hf Si -,- C88 H108 Cl4 Hf2 Si2 -,2,1
7122249,13.8066,0.0004,15.6857,0.0005,19.9468,0.0006,78.658,0.002,76.378,0.002,69.286,0.003,3896.2,0.2,150,2,150,2,5,P -1,-P 1,2,,,,- C85 H116 Cl4 Si2 Zr2 -,- C85 H116 Cl4 Si2 Zr2 -,- C170 H232 Cl8 Si4 Zr4 -,2,1
7122250,10.5809,0.0003,13.3793,0.0003,14.5519,0.0005,94.719,0.002,106.544,0.003,94.233,0.002,1957.84,0.1,150,2,150,2,5,P -1,-P 1,2,,,,- C44 H54 Cl2 Si Zr -,- C44 H54 Cl2 Si Zr -,- C88 H108 Cl4 Si2 Zr2 -,2,1
7122251,11.1926,0.0006,12.9453,0.0007,13.5301,0.0007,101.807,0.004,108.951,0.005,97.086,0.004,1776.35,0.18,150,2,150,2,5,P -1,-P 1,2,,,,- C39 H50 Cl2 Si Zr -,- C39 H50 Cl2 Si Zr -,- C78 H100 Cl4 Si2 Zr2 -,2,1
7122252,15.4588,0.0008,16.8913,0.001,19.2243,0.0009,68.923,0.005,84.784,0.004,65.752,0.005,4261.2,0.5,150,2,149.9,0.4,5,P -1,-P 1,2,,,,- C40 H52 Cl2 Si Zr -,- C40 H52 Cl2 Si Zr -,- C160 H208 Cl8 Si4 Zr4 -,4,2
7126389,15.5064,0.0011,21.8874,0.0016,31.229,0.002,90,,101.817,0.001,90,,10374.3,1.2,200,2,200,,7,P 1 21/c 1,-P 2ybc,14,,,,- C101 H104 Al B Dy2 F36 O4 -,- C101 H104 Al B Dy2 F36 O4 -,- C404 H416 Al4 B4 Dy8 F144 O16 -,4,1
7128395,14.1448,0.0001,21.9288,0.0001,26.0721,0.0002,90,,98.309,0.001,90,,8002.12,0.09,100,0.1,100,0.1,4,P 1 21/n 1,-P 2yn,14,,,,- C78 H136 B3 Dy3 -,- C78 H136 B3 Dy3 -,- C312 H544 B12 Dy12 -,4,1
7128396,14.2955,0.0005,17.6222,0.0007,19.9866,0.0006,80.945,0.003,88.122,0.003,88.861,0.003,4969,0.3,100,0.11,100,0.11,5,P -1,-P 1,2,,,,- C102 H132 B3 Dy3 F20 -,- C102 H132 B3 Dy3 F20 -,- C204 H264 B6 Dy6 F40 -,2,1
7128630,14.0255,0.0007,16.7687,0.0009,21.8639,0.0015,90,,90,,90,,5142.2,0.5,180,2,180,2,4,P b c a,-P 2ac 2ab,61,,,,- C26 H41 O2 Y -,- C26 H41 O2 Y -,- C208 H328 O16 Y8 -,8,1
7128631,18.808,0.016,8.677,0.007,19.029,0.016,90,,113.609,0.011,90,,2846,4,100,2,100,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C28 H50 Al La O -,- C28 H50 Al La O -,- C112 H200 Al4 La4 O4 -,4,1
7128632,16.6514,0.0015,15.0366,0.0013,11.0355,0.001,90,,90,,90,,2763.1,0.4,136,2,136,2,5,P n m a,-P 2ac 2n,62,,,,- C27 H46 Al La O -,- C27 H46 Al La O -,- C108 H184 Al4 La4 O4 -,4,0.5
7128633,10.5384,0.0002,19.7009,0.0004,11.5448,0.0002,90,,97.1483,0.001,90,,2378.25,0.08,100,2,100,2,4,P 1 21/n 1,-P 2yn,14,,,,- C26 H41 O Y -,- C26 H41 O Y -,- C104 H164 O4 Y4 -,4,1
7202225,7.6566,0.0007,14.2184,0.0013,12.4639,0.0011,90,,91.546,0.002,90,,1356.4,0.2,100,2,100,2,4,P 1 21/n 1,-P 2yn,14,KP23,,,- C15 H20 O Zr -,- C15 H20 O Zr -,- C60 H80 O4 Zr4 -,4,1
7202226,7.17,0.0014,9.053,0.0018,10.385,0.002,90,,91.14,0.03,90,,674,0.2,211,2,211,2,3,P 1 21/m 1,-P 2yb,11,KP24,,,- C15 H20 Hf -,- C15 H20 Hf -,- C30 H40 Hf2 -,2,0.5
7225556,18.2887,0.0009,27.7326,0.0014,15.9855,0.0008,90,,108.49,0.001,90,,7689.2,0.7,187,2,187,2,7,P 1 21/c 1,-P 2ybc,14,,,,- C35 H42 Cl2 F O2 P Zr -,- C35 H42 Cl2 F O2 P Zr -,- C280 H336 Cl16 F8 O16 P8 Zr8 -,8,2
7225557,20.3736,0.0016,21.5156,0.0016,13.6999,0.001,90,,90,,90,,6005.4,0.8,185,2,185,2,6,P b c n,-P 2n 2ab,60,,,,- C30 H41 Cl2 O2 P Zr -,- C30 H41 Cl2 O2 P Zr -,- C240 H328 Cl16 O16 P8 Zr8 -,8,1
7702296,6.001,0.001,8.113,0.001,12.399,0.001,99.19,0.01,94.36,0.01,93.36,0.01,592.65,0.13,198,2,198,2,5,P -1,-P 1,2,,,,- C26 H40 Fe N2 O2 -,- C26 H40 Fe N2 O2 -,- C26 H40 Fe N2 O2 -,1,0.5
7702297,6.975,0.001,12.127,0.001,12.384,0.001,95.65,0.01,91.35,0.01,90.44,0.01,1042.08,0.19,198,2,198,2,6,P -1,-P 1,2,,,,- C20 H29 Cl2 N O Zr -,- C20 H29 Cl2 N O Zr -,- C40 H58 Cl4 N2 O2 Zr2 -,2,1
7702298,12.967,0.001,13.167,0.001,12.702,0.001,90,,95.07,0.01,90,,2160.2,0.3,198,2,198,2,8,P 1 21/c 1,-P 2ybc,14,,,,- C18.5 H26 B Cl2 F4 N O Ti -,- C18.5 H26 B Cl2 F4 N O Ti -,- C74 H104 B4 Cl8 F16 N4 O4 Ti4 -,4,1
7702299,7.715,0.001,11.021,0.001,26.172,0.003,90,,90,,90,,2225.3,0.4,223,2,223,2,4,P b c a,-P 2ac 2ab,61,,,,- C12 H17 N O -,- C12 H17 N O -,- C96 H136 N8 O8 -,8,1
7702300,10.916,0.003,10.601,0.003,11.246,0.008,90,,109.37,0.03,90,,1227.7,1,223,2,223,2,4,P 1 21/n 1,-P 2yn,14,,,,- C13 H19 N O -,- C13 H21 N O -,- C52 H84 N4 O4 -,4,1
