file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
4089561,14.0149,0.0006,16.4196,0.0008,23.4016,0.0011,82.01,0.002,74.594,0.002,89.467,0.002,5139.1,0.4,120,2,120,2,8,P -1,-P 1,2,,,,- C53.5 H46 B2 Cl3 F8 Fe P3 Pd -,- C53.5 H46 B2 Cl3 F8 Fe P3 Pd -,- C214 H184 B8 Cl12 F32 Fe4 P12 Pd4 -,4,2
4089562,12.3572,0.0011,14.0847,0.0012,16.277,0.0015,89.496,0.005,85.881,0.005,65.184,0.005,2564,0.4,120,2,120,2,8,P -1,-P 1,2,,,,- C56 H53 B2 F8 O P3 Pd Ru -,- C52 H43 B2 F8 P3 Pd Ru -,- C104 H86 B4 F16 P6 Pd2 Ru2 -,2,1
4089563,12.7978,0.0004,15.6371,0.0005,17.5738,0.0006,77.064,0.002,80.741,0.002,71.172,0.002,3229.2,0.19,125,2,125,2,8,P -1,-P 1,2,,,,- C59 H81 B2 Cl7 F8 Fe P3 Pt -,- C59 H81 B2 Cl7 F8 Fe P3 Pt -,- C118 H162 B4 Cl14 F16 Fe2 P6 Pt2 -,2,1
4089564,12.3714,0.0007,14.0701,0.0008,16.3741,0.0009,85.31,0.003,86.31,0.003,65.741,0.002,2588.3,0.3,120,2,120,2,8,P -1,-P 1,2,,,,- C55 H49 B2 Cl3 F8 P3 Pt Ru -,- C52 H43 B2 F8 P3 Pt Ru -,- C104 H86 B4 F16 P6 Pt2 Ru2 -,2,1
4089565,11.3003,0.001,17.7584,0.0015,12.7868,0.0011,90,,98.48,0.002,90,,2537.9,0.4,110,2,110,2,6,P 1 21/n 1,-P 2yn,14,,,,- C22 H36 Fe I2 P2 Pd -,- C22 H36 Fe I2 P2 Pd -,- C88 H144 Fe4 I8 P8 Pd4 -,4,1
4089566,12.5777,0.0005,13.0199,0.0005,17.08,0.0006,83.477,0.002,86.866,0.002,76.638,0.002,2702.52,0.18,110,2,110,2,8,P -1,-P 1,2,,,,- C58 H76 B2 F8 Fe O2.5 P3 Pd -,- C48 H51 B2 F8 Fe P3 Pd -,- C96 H102 B4 F16 Fe2 P6 Pd2 -,2,1
4089567,11.3218,0.0011,17.7619,0.0018,12.7728,0.0013,90,,98.641,0.002,90,,2539.4,0.4,110,2,110,2,6,P 1 21/n 1,-P 2yn,14,,,,- C22 H36 Fe I2 P2 Pt -,- C22 H36 Fe I2 P2 Pt -,- C88 H144 Fe4 I8 P8 Pt4 -,4,1
4089568,14.6916,0.0004,14.7206,0.0004,16.787,0.0004,64.59,0.001,78.883,0.001,81.407,0.001,3208.64,0.15,120,2,120,2,8,P -1,-P 1,2,,,,- C134 H84 B2 Cl4 F48 Fe2 P4 Pd2 -,- C134 H84 B2 Cl4 F48 Fe2 P4 Pd2 -,- C134 H84 B2 Cl4 F48 Fe2 P4 Pd2 -,1,0.5
4089569,11.6086,0.0003,17.1357,0.0005,19.2749,0.0006,90,,98.127,0.001,90,,3795.69,0.19,296,2,296,2,7,P 1 21/c 1,-P 2ybc,14,[(dtbpf)PdCl][SbCl6].0.5(CH2Cl2),,,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C106 H180 Cl32 Fe4 P8 Pd4 Sb4 -,4,1
4089570,11.5485,0.001,17.0186,0.0014,19.1239,0.0016,90,,98.185,0.001,90,,3720.3,0.5,165,2,165,2,7,P 1 21/c 1,-P 2ybc,14,[(dtbpf)PdCl][SbCl6].0.5(CH2Cl2),,,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C106 H180 Cl32 Fe4 P8 Pd4 Sb4 -,4,1
4089571,11.495,0.01,16.945,0.014,19.559,0.016,90,,97.657,0.011,90,,3776,5,100,2,100,2,7,P 1 21/c 1,-P 2ybc,14,[(dtbpf)PdCl][SbCl6].0.5(CH2Cl2),,,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C106 H180 Cl32 Fe4 P8 Pd4 Sb4 -,4,1
4089572,11.617,0.004,17.131,0.006,19.29,0.006,90,,98.126,0.006,90,,3800,2,296,2,296,2,7,P 1 21/c 1,-P 2ybc,14,,,,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C26.5 H45 Cl8 Fe P2 Pd Sb -,- C106 H180 Cl32 Fe4 P8 Pd4 Sb4 -,4,1
4100706,32.132,0.003,21.368,0.002,23.512,0.002,90,,105.523,0.002,90,,15554,2,163,2,163,2,5,C 1 2/c 1,-C 2yc,15,,,,- C50 H82 O4 Si2 Sm2 -,- C50 H82 O4 Si2 Sm2 -,- C600 H984 O48 Si24 Sm24 -,12,1.5
4101130,10.0055,0.0001,27.7679,0.0006,24.2432,0.0006,90,,97.678,0.001,90,,6675.1,0.2,100,2,100,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C78 H85 B2 N5 U -,- C78 H85 B2 N5 U -,- C312 H340 B8 N20 U4 -,4,1
4101131,21.0005,0.0005,19.4352,0.0005,22.9247,0.0003,90,,116.103,0.001,90,,8402.4,0.3,100,2,100,2,5,C 1 2/c 1,-C 2yc,15,,,,- C35 H52.5 I2 N7.5 U -,- C35 H52.5 I2 N7.5 U -,- C280 H420 I16 N60 U8 -,8,1
4102171,8.5394,0.0004,10.3251,0.0005,16.5699,0.0008,94.324,0.004,101.046,0.003,114.318,0.003,1287.09,0.11,200,2,200,2,4,P -1,-P 1,2,,,,- C28 H32 Si2 Ti -,- C28 H32 Si2 Ti -,- C56 H64 Si4 Ti2 -,2,1
4102172,32.0481,0.001,9.1762,0.0002,20.1421,0.0007,90,,113.035,0.002,90,,5451.1,0.3,200,2,200,2,4,C 1 2/c 1,-C 2yc,15,,,,- C22 H38 Hf Si4 -,- C22 H38 Hf Si4 -,- C176 H304 Hf8 Si32 -,8,1
4102173,16.8109,0.0005,10.2196,0.0003,14.9047,0.0005,90,,109.929,0.002,90,,2407.3,0.13,200,2,200,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C20 H35 Hf P Si2 -,- C20 H35 Hf P Si2 -,- C80 H140 Hf4 P4 Si8 -,4,1
4102174,8.1828,0.0002,10.4511,0.0003,20.5913,0.0006,88.056,0.002,84.173,0.002,80.283,0.002,1726.47,0.08,200,2,200,2,4,P -1,-P 1,2,,,,- C38 H38 Hf Si4 -,- C38 H38 Hf Si4 -,- C76 H76 Hf2 Si8 -,2,1
4102849,10.096,0.008,11.064,0.01,11.9103,0.0014,89.107,0.008,78.26,0.008,75.326,0.007,1259.2,1.5,193,2,193,2,3,P -1,-P 1,2,,,,- C16 H14 Fe -,- C16 H14 Fe -,- C64 H56 Fe4 -,4,2
4102850,12.3912,0.0008,18.543,0.0012,19.2709,0.0012,91.317,0.001,105.934,0.001,95.163,0.001,4235.2,0.5,100,2,100,2,4,P -1,-P 1,2,,,,- C28 H18 Fe O2 -,- C28 H18 Fe O2 -,- C224 H144 Fe8 O16 -,8,4
4102851,10.2259,0.0006,11.7586,0.0007,13.5232,0.0008,100.77,0.001,103.04,0.001,94.48,0.001,1543.89,0.16,100,2,100,2,4,P -1,-P 1,2,,,,- C18 H14 Fe O4 -,- C18 H14 Fe O4 -,- C72 H56 Fe4 O16 -,4,2
4102852,13.2416,0.001,17.3908,0.0013,23.0341,0.0017,90,,90.8,0.001,90,,5303.8,0.7,213,2,213,2,5,P 1 21 1,P 2yb,4,,,,- C69 H57 Fe O2 P3 -,- C69 H57 Fe O2 P3 -,- C276 H228 Fe4 O8 P12 -,4,2
4102853,9.9968,0.0005,25.255,0.0012,22.4254,0.0011,90,,96.173,0.001,90,,5628.9,0.5,100,2,100,2,5,P 1 21/n 1,-P 2yn,14,,,,- C59 H53 Fe O4 P3 -,- C59 H53 Fe O4 P3 -,- C236 H212 Fe4 O16 P12 -,4,1
4105234,16.861,0.003,10.925,0.002,23.401,0.005,90,,110.76,0.03,90,,4030.7,1.6,100,2,100,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C31 H61 P Si6 Zr -,- C31 H61 P Si6 Zr -,- C124 H244 P4 Si24 Zr4 -,4,1
4105235,11.365,0.002,15.798,0.003,17.117,0.003,90,,90,,90,,3073.3,1,100,2,100,2,5,P 21 21 21,P 2ac 2ab,19,,,,- C22 H47 P Si5 Zr -,- C22 H47 P Si5 Zr -,- C88 H188 P4 Si20 Zr4 -,4,1
4105236,9.878,0.002,10.085,0.002,16.779,0.003,90.47,0.03,90.22,0.03,117.42,0.03,1483.6,0.6,100,2,100,2,4,P -1,-P 1,2,,,,- C22 H46 Si6 Ti -,- C22 H46 Si6 Ti -,- C44 H92 Si12 Ti2 -,2,1
4105237,16.908,0.003,10.926,0.002,23.415,0.005,90,,110.94,0.03,90,,4039.9,1.6,100,2,100,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C32 H63 Ge2 Hf P Si4 -,- C32 H63 Ge2 Hf P Si4 -,- C128 H252 Ge8 Hf4 P4 Si16 -,4,1
