file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
1519691,9.7837,0.0005,17.3161,0.001,17.4313,0.001,80.898,0.003,88.203,0.003,89.242,0.003,2914.4,4,P -1,-P 1,2,,,,- C28 H52 N2 Zr -,- C28 H52 N2 Zr -,- C112 H208 N8 Zr4 -,4,2
1520808,8.701,,8.701,,23.41,,90,,90,,120,,1534.87,7,R -3 :H,-R 3,148,,(La0.7 Eu0.3)0.167 Pb0.333 Zr2 (P O4)2.833 (Si O4)0.167,,- Eu0.0501 La0.1169 O12 P2.833 Pb0.333 Si0.167 Zr2 -,- Eu0.05 La0.11665 O12 P2.8332 Pb0.33335 Si0.1668 Zr2 -,- Eu0.3 La0.6999 O72 P16.9992 Pb2.0001 Si1.0008 Zr12 -,6,0.333333
1520809,8.692,,8.692,,23.45,,90,,90,,120,,1534.31,6,R -3 :H,-R 3,148,,La0.167 Pb0.333 Zr2 (P O4)2.833 (Si O4)0.167,,- La0.167 O12 P2.833 Pb0.333 Si0.167 Zr2 -,- La0.16665 O12 P2.8332 Pb0.33335 Si0.1668 Zr2 -,- La0.9999 O72 P16.9992 Pb2.0001 Si1.0008 Zr12 -,6,0.333333
1520927,8.81277,,8.9452,,12.375,,90,,90.801,,90,,975.451,4,P 1 21/n 1,-P 2yn,14,,Li Zr2 (P O4)3,,- Li O12 P3 Zr2 -,- Li O12 P3 Zr2 -,- Li4 O48 P12 Zr8 -,4,1
1520928,15.0718,,8.8556,,9.1234,,89.661,,123.912,,90.429,,1010.53,4,C -1,"-P 1 (1/2*x+1/2*y,1/2*x-1/2*y,-z)",2,,Li Zr2 (P O4)3,,- Li O12 P3 Zr2 -,- Li O12 P3 Zr2 -,- Li4 O48 P12 Zr8 -,4,
1520963,14.262,,14.262,,29.949,,90,,90,,120,,5275.62,16,R 3 m :H,"R 3 -2""",160,,Na12 K0.25 Ca6.33 Sr0.72 Ba0.03 Ce0.47 Y0.13 Fe2.55 Mn1.2 Ti0.05 Zr3.27 Nb0.8 Si25.2 O72 (O H)4.69 Cl1.3 (H2 O)0.8,,- Ba0.03 Ca6.33 Ce0.47 Cl1.3 Fe2.55 H6.29 K0.25 Mn1.2 Na12 Nb0.8 O77.49 Si25.2 Sr0.72 Ti0.05 Y0.13 Zr3.27 -,- Ba0.033 Ca6.333 Ce0.468 Cl1.3 Fe2.55 K0.249 Mn1.197 Na12 Nb0.8 O77.49 Si25.2 Sr0.717 Ti0.051 Y0.132 Zr3.27 -,- Ba0.099 Ca18.999 Ce1.404 Cl3.9 Fe7.65 K0.747 Mn3.591 Na36 Nb2.4 O232.47 Si75.6 Sr2.151 Ti0.153 Y0.396 Zr9.81 -,3,0.166667
1521042,4.0043,,4.0043,,4.14964,,90,,90,,90,,66.537,4,P 4 m m,P 4 -2,99,,Pb (Zr0.4 Ti0.6) O3,,- O3 Pb Ti0.6 Zr0.4 -,- O3 Pb Ti0.6 Zr0.4 -,- O3 Pb Ti0.6 Zr0.4 -,1,0.125
1521043,4.03034,,4.03034,,4.1449,,90,,90,,90,,67.328,4,P 4 m m,P 4 -2,99,,Pb (Zr0.5 Ti0.5) O3,,- O3 Pb Ti0.5 Zr0.5 -,- O3 Pb Ti0.5 Zr0.5 -,- O3 Pb Ti0.5 Zr0.5 -,1,0.125
1521044,4.055,,4.055,,4.1097,,90,,90,,90,,67.576,4,P 4 m m,P 4 -2,99,,Pb (Zr0.52 Ti0.48) O3,,- O3 Pb Ti0.48 Zr0.52 -,- O3 Pb Ti0.48 Zr0.52 -,- O3 Pb Ti0.48 Zr0.52 -,1,0.125
1521045,5.76907,,5.74266,,4.089,,90,,90.497,,90,,135.463,4,C 1 m 1,C -2y,8,,Pb (Zr0.54 Ti0.46) O3,,- O3 Pb Ti0.46 Zr0.54 -,- O3 Pb Ti0.46 Zr0.54 -,- O6 Pb2 Ti0.92 Zr1.08 -,2,0.5
1521209,9.3249,,5.4133,,9.3415,,90,,109.106,,90,,445.57,3,C 1 c 1,C -2yc,9,,Zr V2 D1.94,,- D1.94 V2 Zr -,- D1.94 V2 Zr -,- D15.52 V16 Zr8 -,8,2
1521210,9.3564,,5.4265,,9.3709,,90,,109.205,,90,,449.306,3,C 1 c 1,C -2yc,9,,Zr V2 D2.18,,- D2.18 V2 Zr -,- D2.179 V2 Zr -,- D17.432 V16 Zr8 -,8,2
1521212,5.4284,,5.4284,,8.8826,,90,,90,,120,,226.681,3,P 63/m m c,-P 6c 2c,194,,Zr Cr2 D3.83,,- Cr2 D3.83 Zr -,- Cr2 D3.83 Zr -,- Cr8 D15.32 Zr4 -,4,0.166667
1521213,4.172,,4.172,,12.244,,90,,90,,90,,213.114,4,P 4/m m m,-P 4 2,123,,Ba2 Nb4 (Nb0.9 Zr0.1) O9,,- Ba2 Nb4.9 O9 Zr0.1 -,- Ba2 Nb4.9 O9 Zr0.1 -,- Ba2 Nb4.9 O9 Zr0.1 -,1,0.0625
1521214,9.3848,,9.3848,,26.5461,,90,,90,,120,,2024.8,3,R 3 :H,R 3,146,,Zr Cr2 D3.804,,- Cr2 D3.804 Zr -,- Cr2 D3.8035 Zr -,- Cr72 D136.926 Zr36 -,36,4
1521215,5.4756,,5.4248,,9.474,,90,,125.31,,90,,229.646,3,P 1 21/c 1,-P 2ybc,14,,Zr V2 D2.8,,- D2.8 V2 Zr -,- D2.8 V2 Zr -,- D11.2 V8 Zr4 -,4,1
1521216,5.4854,,5.4854,,7.9231,,90,,90,,90,,238.403,3,I 41/a :2,-I 4ad,88,,Zr V2 D3.9,,- D3.9 V2 Zr -,- D3.9 V2 Zr -,- D15.6 V8 Zr4 -,4,0.25
1521250,3.60388,,3.60388,,27.67189,,90,,90,,120,,311.251,3,R -3 m :H,"-R 3 2""",166,,Zr N Cl,,- Cl N Zr -,- Cl N Zr -,- Cl6 N6 Zr6 -,6,0.166667
1521253,8.0946,,5.6758,,11.5674,,90,,90,,90,,531.445,4,P m c n,-P 2n 2a,62,,(Ca0.612 Sr0.388) Zr O3,,- Ca0.612 O3 Sr0.388 Zr -,- Ca0.6118 O3 Sr0.3882 Zr -,- Ca4.8944 O24 Sr3.1056 Zr8 -,8,1
1521257,3.9539,,3.9539,,4.1319,,90,,90,,90,,64.595,4,P 4 m m,P 4 -2,99,,Pb (Zr0.2 Ti0.8) O3,,- O3 Pb Ti0.8 Zr0.2 -,- O3 Pb Ti0.8 Zr0.2 -,- O3 Pb Ti0.8 Zr0.2 -,1,0.125
1521259,3.9862,,3.9862,,4.1331,,90,,90,,90,,65.674,4,P 4 m m,P 4 -2,99,,Pb (Zr0.3 Ti0.7) O3,,- O3 Pb Ti0.7 Zr0.3 -,- O3 Pb Ti0.7 Zr0.3 -,- O3 Pb Ti0.7 Zr0.3 -,1,0.125
1521261,4.0081,,4.0081,,4.1341,,90,,90,,90,,66.414,4,P 4 m m,P 4 -2,99,,Pb (Zr0.4 Ti0.6) O3,,- O3 Pb Ti0.6 Zr0.4 -,- O3 Pb Ti0.6 Zr0.4 -,- O3 Pb Ti0.6 Zr0.4 -,1,0.125
1521263,5.739,,5.739,,14.1339,,90,,90,,120,,403.149,4,R 3 m :H,"R 3 -2""",160,,Pb (Zr0.4 Ti0.6) O3,,- O3 Pb Ti0.6 Zr0.4 -,- O3 Pb Ti0.6 Zr0.4 -,- O9 Pb3 Ti1.8 Zr1.2 -,3,0.166667
1521265,4.0353,,4.0353,,4.1312,,90,,90,,90,,67.271,4,P 4 m m,P 4 -2,99,,Pb (Zr0.53 Ti0.47) O3,,- O3 Pb Ti0.47 Zr0.53 -,- O3 Pb Ti0.47 Zr0.53 -,- O3 Pb Ti0.47 Zr0.53 -,1,0.125
1521266,5.7651,,5.7651,,14.184,,90,,90,,120,,408.266,4,R 3 m :H,"R 3 -2""",160,,Pb (Zr0.53 Ti0.47) O3,,- O3 Pb Ti0.47 Zr0.53 -,- O3 Pb Ti0.47 Zr0.53 -,- O18 Pb6 Ti2.82 Zr3.18 -,6,0.333333
1521268,3.9849,,3.9849,,3.9849,,90,,90,,90,,63.278,5,P m -3 m,-P 4 2 3,221,,(Ba0.25 Sr0.749) (Zr0.283 Ti0.715) O3,,- Ba0.25 O3 Sr0.749 Ti0.715 Zr0.283 -,- Ba0.2496 O3 Sr0.7488 Ti0.7152 Zr0.2832 -,- Ba0.2496 O3 Sr0.7488 Ti0.7152 Zr0.2832 -,1,0.0208333
1521269,4.0184,,4.0184,,4.0084,,90,,90,,90,,64.726,5,P 4/m m m,-P 4 2,123,,(Ba0.272 Sr0.728) (Zr0.403 Ti0.597) O3,,- Ba0.272 O3 Sr0.728 Ti0.597 Zr0.403 -,- Ba0.272 O3 Sr0.728 Ti0.5968 Zr0.4032 -,- Ba0.272 O3 Sr0.728 Ti0.5968 Zr0.4032 -,1,0.0625
1521270,5.7312,,5.6651,,8.1106,,90,,90,,90,,263.334,5,I b m m,-I 2c 2c,74,,(Ba0.262 Sr0.738) (Zr0.513 Ti0.487) O3,,- Ba0.262 O3 Sr0.738 Ti0.487 Zr0.513 -,- Ba0.2624 O3 Sr0.7376 Ti0.4872 Zr0.5128 -,- Ba1.0496 O12 Sr2.9504 Ti1.9488 Zr2.0512 -,4,0.25
1521271,5.7731,,5.727,,8.0968,,90,,90,,90,,267.701,5,I b m m,-I 2c 2c,74,,(Ba0.273 Sr0.727) (Zr0.656 Ti0.344) O3,,- Ba0.273 O3 Sr0.727 Ti0.344 Zr0.656 -,- Ba0.2728 O3 Sr0.7272 Ti0.344 Zr0.656 -,- Ba1.0912 O12 Sr2.9088 Ti1.376 Zr2.624 -,4,0.25
1521272,5.8241,,5.778,,8.1622,,90,,90,,90,,274.671,5,P b n m,-P 2c 2ab,62,,(Ba0.27 Sr0.729) (Zr0.802 Ti0.202) O3,,- Ba0.27 O3 Sr0.729 Ti0.202 Zr0.802 -,- Ba0.2696 O3 Sr0.7288 Ti0.2024 Zr0.8018 -,- Ba1.0784 O12 Sr2.9152 Ti0.8096 Zr3.2072 -,4,0.5
1521273,5.838,,5.8025,,8.1972,,90,,90,,90,,277.68,5,P b n m,-P 2c 2ab,62,,(Ba0.269 Sr0.731) (Zr0.901 Ti0.099) O3,,- Ba0.269 O3 Sr0.731 Ti0.099 Zr0.901 -,- Ba0.269 O3 Sr0.731 Ti0.0992 Zr0.9008 -,- Ba1.076 O12 Sr2.924 Ti0.3968 Zr3.6032 -,4,0.5
1521274,5.8412,,5.8463,,8.2485,,90,,90,,90,,281.681,5,P b n m,-P 2c 2ab,62,,(Ba0.267 Sr0.733) (Zr0.979 Ti0.021) O3,,- Ba0.267 O3 Sr0.733 Ti0.021 Zr0.979 -,- Ba0.2672 O3 Sr0.7328 Ti0.0208 Zr0.9792 -,- Ba1.0688 O12 Sr2.9312 Ti0.0832 Zr3.9168 -,4,0.5
1521308,5.142,,5.142,,8.104,,90,,90,,120,,185.564,3,P 6/m m m,-P 6 2,191,,Zr Mn6 Ge6,,- Ge6 Mn6 Zr -,- Ge6 Mn6 Zr -,- Ge6 Mn6 Zr -,1,0.0416667
